algorithm,param,n_clusters_found,ari_vs_kmeans15,ami_vs_accords,pct_noise,silhouette
agglomerative_ward,euclidean/ward,15,0.3364896454026245,0.16801724524222944,0.0,-0.007085748107959927
agglomerative_cosine_average,cosine/average,15,0.16513934465034102,0.14968675356797906,0.0,0.011664462508053749
hdbscan_mcs5,min_cluster_size=5,2,-0.001937533045687868,0.03187408214391873,0.9207317073170732,0.328421553268335
hdbscan_mcs10,min_cluster_size=10,0,0.0,0.0,1.0,
hdbscan_mcs20,min_cluster_size=20,0,0.0,0.0,1.0,
gmm_full,covariance=full,15,0.5014480496529725,0.1765154768495999,0.0,0.032292728739429497
gmm_diag,covariance=diag,15,0.20446583326014361,0.08660869086312822,0.0,-0.015444026089226464
spectral_cooccurrence,affinity=co-occurrence,15,0.2283597758614737,0.09893036309000629,0.0,0.027210563717570493
