algorithm,n_evaluated,precision@5,recall@5,MRR@5,hit_rate@5,precision@10,recall@10,MRR@10,hit_rate@10,precision@20,recall@20,MRR@20,hit_rate@20
note_svd,17304,0.04766527970411465,0.10160752576517681,0.1515516643550624,0.18839574664817382,0.028334489135460012,0.1181656143227713,0.15501723612853988,0.21480582524271843,0.016724456773000464,0.13590361655941394,0.1569621982466898,0.24260286638927417
note_tfidf,17304,0.06959084604715673,0.14841493981253806,0.21192884111573432,0.2632339343504392,0.04241793804900601,0.17413742185183206,0.21642488845592173,0.29698335644937585,0.024794845122515025,0.19855050959158224,0.21873688066655672,0.3302704576976422
family,17304,0.014759593157651412,0.03233412807850401,0.04247380181846201,0.0636846971798428,0.009477577438742488,0.04096975508597036,0.044443595938914934,0.07882570503929727,0.005946601941747573,0.05013095029742338,0.04564650480977698,0.09627831715210355
accord,17333,0.05291640223850459,0.10977791865697574,0.15315582991980617,0.20890786361276178,0.03413719494605666,0.13590965173860212,0.15845160483855458,0.24865862805053943,0.02156291467143599,0.16719834056095717,0.16166112683446654,0.29533260255004906
hybrid,17304,0.06370781322237633,0.13316013807777644,0.19035579442132838,0.24358529819694869,0.03925681923254738,0.15797291877709674,0.19513072488974015,0.27976190476190477,0.024075358298659272,0.19010857978062004,0.19816235059588883,0.3239713361072584
random,17334,0.00010384215991692627,0.00022753245754284177,0.00019614630206530518,0.0005192107995846313,8.653513326410523e-05,0.0002909915552698523,0.00023652936425522093,0.0008653513326410523,6.92281066112842e-05,0.00039619584228445427,0.000278189649257391,0.0013845621322256837
popularity,17334,0.0024922118380062306,0.004161742287501145,0.00495461713011038,0.012287988923502942,0.0021345332871812624,0.008476317050327897,0.006087746625129803,0.021114572516441676,0.0025268258913118723,0.02079463282438939,0.007800307057303811,0.04551748009691935
same_brand,17334,0.02216453213337949,0.05446074270426168,0.0623629860389985,0.10447675089419638,0.01662628360447675,0.08004298575512167,0.06814527280086297,0.14785969770393445,0.012296642436829354,0.11459418732080488,0.0720695039729581,0.2047998153917157
